date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:15	109607/109607	---M--	200	added ('OK')	application/javascript	etag:%22e979e777843bba9eda8a1ca96062a95a%22	https://platform.twitter.com/widgets.js	Y:/Downloads/My%20Web%20Sites/tharit/platform.twitter.com/widgets.js	(from http://tharit.tothong.com/)
07:57:15	23320/23320	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Feb%202014%2023:17:37%20GMT	http://tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.woff	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:15	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2023%20Feb%202014%2023:17:35%20GMT	http://tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.svg	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:17	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Feb%202014%2023:17:34%20GMT	http://tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.eot?	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:17	41280/41280	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Feb%202014%2023:17:36%20GMT	http://tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.ttf	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:20	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Feb%202014%2023:17:27%20GMT	http://tharit.tothong.com/dist/fonts/fontawesome-webfont.eot?v=4.0.3	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/fontawesome-webfontba72.eot	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:23	202148/202148	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2023%20Feb%202014%2023:17:30%20GMT	http://tharit.tothong.com/dist/fonts/fontawesome-webfont.svg?v=4.0.3	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/fontawesome-webfontba72.svg	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:25	404/404	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jul%202016%2011:57:23%20GMT	http://tharit.tothong.com/thatthey/resume.pdf	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/thatthey/resume.pdf	(from http://tharit.tothong.com/thatthey/)
07:57:25	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2023%20Feb%202014%2023:17:27%20GMT	http://tharit.tothong.com/dist/fonts/fontawesome-webfont.eot?	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/fontawesome-webfontd41d.eot	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
07:57:28	44432/44432	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Feb%202014%2023:17:32%20GMT	http://tharit.tothong.com/dist/fonts/fontawesome-webfont.woff?v=4.0.3	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/dist/fonts/fontawesome-webfontba72.woff	(from http://tharit.tothong.com/dist/css/bootstrap.min.css)
